Image Name,Dominant Colors
678bef0d2b062e33e2ae8b5c.png,"#23494f (8.6%), #abb09e (4.2%), #d9dadb (37.1%), #2c2c32 (19.8%), #2d2e2d (11.2%), #313233 (12.3%)"
678bef0d2b062e33e2ae8b5d.png,"#0b3354 (6.3%), #343539 (7.4%), #786a5b (5.4%), #dbd7c8 (79.7%)"
678bef0d2b062e33e2ae8b5e.png,"#333333 (6.8%), #e3e2df (92.2%)"
678bef0d2b062e33e2ae8b60.png,"#2e2c32 (3.0%), #d9d7d5 (78.2%), #474547 (13.7%)"
678bef0d2b062e33e2ae8b61.png,"#38373c (2.7%), #6d6c70 (2.6%), #cecac8 (91.1%)"
678bef0d2b062e33e2ae8b62.png,"#2d2e42 (2.8%), #c5bcb8 (92.0%)"
678bef0d2b062e33e2ae8b6e.png,"#222327 (4.4%), #232325 (2.8%), #32384b (2.5%), #2d324e (27.2%), #c5c5c0 (56.0%)"
678bef0d2b062e33e2ae8b6f.png,"#25252a (3.3%), #d1cdba (18.0%), #a9a9a6 (73.0%)"
678bef0d2b062e33e2ae8b71.png,"#6f4431 (8.9%), #ded7cf (87.8%)"
678bef0d2b062e33e2ae8b72.png,"#252426 (2.2%), #babab4 (88.5%)"
678bef0d2b062e33e2ae8b73.png,"#532449 (2.0%), #949493 (83.7%)"
678bef0d2b062e33e2ae8b74.png,"#282c3f (6.6%), #91918f (78.9%)"
678bef0d2b062e33e2ae8b82.png,"#c84454 (4.6%), #d7df6a (39.6%), #85857e (8.5%), #363939 (31.8%), #363a3e (5.6%), #363f3f (3.2%)"
678bef0d2b062e33e2ae8b83.png,"#f3f4f3 (4.1%), #146e79 (2.6%), #1f4f7b (13.0%), #2e3034 (31.5%), #363738 (38.1%)"
678bef0d2b062e33e2ae8b8c.png,"#904953 (4.3%), #81658d (42.7%), #d2ccc9 (13.9%), #3a393a (27.5%)"
678bef0d2b062e33e2ae8b94.png,"#4c81b9 (6.5%), #2c6753 (38.2%), #d1cec4 (14.1%), #3b3539 (3.2%), #383738 (29.2%)"
678bef0d2b062e33e2ae8b9c.png,"#3d3b3b (11.7%), #e0ded6 (83.0%)"
678bef0d2b062e33e2ae8ba7.png,"#b4732f (21.1%), #d5cec3 (62.4%), #392c26 (14.3%)"
678bef0d2b062e33e2ae8bb3.png,#848484 (96.5%)
678bef0d2b062e33e2ae8bbf.png,"#343339 (3.4%), #ad9c93 (2.8%), #dfd8da (34.7%), #25344e (50.2%)"
678bef0d2b062e33e2ae8bc0.png,"#a2a09a (96.3%), #252523 (2.8%)"
678bef0d2b062e33e2ae8bc1.png,"#6a2c2d (2.5%), #8dabba (15.4%), #dadad2 (29.5%), #272727 (3.1%), #212844 (12.9%), #5a5c68 (24.2%), #4d505f (4.6%)"
678bef0d2b062e33e2ae8bc2.png,"#cab70f (2.9%), #12443c (14.4%), #dcdcd4 (42.6%), #212227 (3.4%), #252527 (2.9%), #5f5f5d (30.1%)"
678bef0d2b062e33e2ae8bc7.png,"#6e707c (5.4%), #292d36 (5.1%), #7c848d (6.6%), #2e3139 (38.3%), #3b3939 (28.8%)"
678bef0d2b062e33e2ae8bc8.png,"#4c4b50 (6.2%), #3d3d3d (89.1%)"
678bef0d2b062e33e2ae8bcb.png,"#38393d (6.0%), #3b3b3b (90.4%)"
678bef0d2b062e33e2ae8bcc.png,"#39393a (2.1%), #c8c7c0 (96.7%)"
678bef0d2b062e33e2ae8bcd.png,"#31434c (8.7%), #8da57e (2.1%), #bdc557 (84.3%)"
678bef0d2b062e33e2ae8bce.png,#a5a5a3 (99.4%)
678bef0d2b062e33e2ae8bcf.png,"#618a93 (3.1%), #303136 (7.4%), #57595e (2.3%), #a2afa7 (11.7%), #888988 (65.8%)"
